time,date,alerts_started,total_alert_duration_minutes,total_alert_duration_hours,avg_alert_duration_minutes
2026-08-21T00:00:00+03:00,2026-08-21,0,0.0,0.0,
2026-08-22T00:00:00+03:00,2026-08-22,5,147.383,2.456,29.477
2026-08-23T00:00:00+03:00,2026-08-23,1,28.067,0.468,28.067
2026-08-24T00:00:00+03:00,2026-08-24,2,15.917,0.265,29.508
2026-08-25T00:00:00+03:00,2026-08-25,1,48.683,0.811,47.267
2026-08-26T00:00:00+03:00,2026-08-26,1,75.2,1.253,33.517
2026-08-27T00:00:00+03:00,2026-08-27,13,878.683,14.645,70.747
2026-08-28T00:00:00+03:00,2026-08-28,12,640.767,10.679,49.978
2026-08-29T00:00:00+03:00,2026-08-29,10,647.783,10.796,64.778
2026-08-30T00:00:00+03:00,2026-08-30,11,535.9,8.932,48.718
2026-08-31T00:00:00+03:00,2026-08-31,12,449.067,7.484,38.678
2026-09-01T00:00:00+03:00,2026-09-01,7,332.9,5.548,45.405
2026-09-02T00:00:00+03:00,2026-09-02,11,516.65,8.611,46.968
2026-09-03T00:00:00+03:00,2026-09-03,7,805.65,13.428,115.093
2026-09-04T00:00:00+03:00,2026-09-04,7,288.117,4.802,41.16
2026-09-05T00:00:00+03:00,2026-09-05,5,543.883,9.065,108.777
2026-09-06T00:00:00+03:00,2026-09-06,1,21.517,0.359,21.517
2026-09-07T00:00:00+03:00,2026-09-07,2,345.817,5.764,343.267
2026-09-08T00:00:00+03:00,2026-09-08,4,1141.8,19.03,243.167
2026-09-09T00:00:00+03:00,2026-09-09,7,762.567,12.709,86.145
2026-09-10T00:00:00+03:00,2026-09-10,6,299.95,4.999,47.986
2026-09-11T00:00:00+03:00,2026-09-11,5,325.867,5.431,65.173
2026-09-12T00:00:00+03:00,2026-09-12,6,187.117,3.119,31.186
2026-09-13T00:00:00+03:00,2026-09-13,4,32.467,0.541,8.117
2026-09-14T00:00:00+03:00,2026-09-14,1,27.533,0.459,27.533
2026-09-15T00:00:00+03:00,2026-09-15,5,210.517,3.509,42.103
2026-09-16T00:00:00+03:00,2026-09-16,6,138.0,2.3,23.0
2026-09-17T00:00:00+03:00,2026-09-17,10,402.0,6.7,40.2
